Statistic,Year,Sex,Age.Group,value
Persons who drink more than once per week,2016,Female,25 - 29 years,9.5
Persons who drink more than once per week,2016,Female,30 - 34 years,13.8
Persons who drink more than once per week,2016,Female,35 - 39 years,17.3
Persons who drink more than once per week,2016,Female,40 - 44 years,21.6
Persons who drink more than once per week,2016,Female,45 - 49 years,26.8
Persons who drink more than once per week,2016,Female,50 - 54 years,26.3
Persons who drink more than once per week,2016,Female,55 - 59 years,23.5
Persons who drink more than once per week,2016,Female,60 - 64 years,21.4
Persons who drink more than once per week,2016,Female,65 - 69 years,17.7
Persons who drink more than once per week,2016,Female,70 - 74 years,20.1
Persons who drink more than once per week,2016,Female,75 years and over,14.3
Persons who drink more than once per week,2017,Male,15 - 19 years,6.5
Persons who drink more than once per week,2017,Male,20 - 24 years,24.6
Persons who drink more than once per week,2017,Male,25 - 29 years,33.2
Persons who drink more than once per week,2017,Male,30 - 34 years,24.1
Persons who drink more than once per week,2017,Male,35 - 39 years,30.5
Persons who drink more than once per week,2017,Male,40 - 44 years,30.6
Persons who drink more than once per week,2017,Male,45 - 49 years,32.5
Persons who drink more than once per week,2017,Male,50 - 54 years,44.9
Persons who drink more than once per week,2017,Male,55 - 59 years,32.9
Persons who drink more than once per week,2017,Male,60 - 64 years,44.6
Persons who drink more than once per week,2017,Male,65 - 69 years,37.7
Persons who drink more than once per week,2017,Male,70 - 74 years,33.8
Persons who drink more than once per week,2017,Male,75 years and over,29.7
Persons who drink more than once per week,2017,Female,15 - 19 years,4.6
Persons who drink more than once per week,2017,Female,20 - 24 years,11.9
Persons who drink more than once per week,2017,Female,25 - 29 years,10.3
Persons who drink more than once per week,2017,Female,30 - 34 years,15.9
Persons who drink more than once per week,2017,Female,35 - 39 years,20.2
Persons who drink more than once per week,2017,Female,40 - 44 years,24.4
Persons who drink more than once per week,2017,Female,45 - 49 years,28.8
Persons who drink more than once per week,2017,Female,50 - 54 years,26.5
Persons who drink more than once per week,2017,Female,55 - 59 years,21.1
Persons who drink more than once per week,2017,Female,60 - 64 years,26
Persons who drink more than once per week,2017,Female,65 - 69 years,20.2
Persons who drink more than once per week,2017,Female,70 - 74 years,17.7
Persons who drink more than once per week,2017,Female,75 years and over,15.5
Persons who drink more than once per week,2018,Male,15 - 19 years,7.2
Persons who drink more than once per week,2018,Male,20 - 24 years,18.9
Persons who drink more than once per week,2018,Male,25 - 29 years,31.4
Persons who drink more than once per week,2018,Male,30 - 34 years,31.6
Persons who drink more than once per week,2018,Male,35 - 39 years,25.2
Persons who drink more than once per week,2018,Male,40 - 44 years,29.4
Persons who drink more than once per week,2018,Male,45 - 49 years,27.9
Persons who drink more than once per week,2018,Male,50 - 54 years,36.8
Persons who drink more than once per week,2018,Male,55 - 59 years,33.3
Persons who drink more than once per week,2018,Male,60 - 64 years,35.9
Persons who drink more than once per week,2018,Male,65 - 69 years,39.1
Persons who drink more than once per week,2018,Male,70 - 74 years,31.5
Persons who drink more than once per week,2018,Male,75 years and over,22.7
Persons who drink more than once per week,2018,Female,15 - 19 years,1.9
Persons who drink more than once per week,2018,Female,20 - 24 years,13.4
Persons who drink more than once per week,2018,Female,25 - 29 years,9.3
Persons who drink more than once per week,2018,Female,30 - 34 years,13.7
Persons who drink more than once per week,2018,Female,35 - 39 years,15.3
Persons who drink more than once per week,2018,Female,40 - 44 years,24.3
Persons who drink more than once per week,2018,Female,45 - 49 years,25
Persons who drink more than once per week,2018,Female,50 - 54 years,28.3
Persons who drink more than once per week,2018,Female,55 - 59 years,24.7
Persons who drink more than once per week,2018,Female,60 - 64 years,26.1
Persons who drink more than once per week,2018,Female,65 - 69 years,20.2
Persons who drink more than once per week,2018,Female,70 - 74 years,16.3
Persons who drink more than once per week,2018,Female,75 years and over,14
Persons who drink more than once per week,2021,Male,15 - 19 years,11
Persons who drink more than once per week,2021,Male,20 - 24 years,19.2
Persons who drink more than once per week,2021,Male,25 - 29 years,19.6
Persons who drink more than once per week,2021,Male,30 - 34 years,23.9
Persons who drink more than once per week,2021,Male,35 - 39 years,26.7
Persons who drink more than once per week,2021,Male,40 - 44 years,29.7
Persons who drink more than once per week,2021,Male,45 - 49 years,30.2
Persons who drink more than once per week,2021,Male,50 - 54 years,28.6
Persons who drink more than once per week,2021,Male,55 - 59 years,32.7
Persons who drink more than once per week,2021,Male,60 - 64 years,29.3
Persons who drink more than once per week,2021,Male,65 - 69 years,25.3
Persons who drink more than once per week,2021,Male,70 - 74 years,28.7
Persons who drink more than once per week,2021,Male,75 years and over,28.2
Persons who drink more than once per week,2021,Female,15 - 19 years,3.3
Persons who drink more than once per week,2021,Female,20 - 24 years,8.4
Persons who drink more than once per week,2021,Female,25 - 29 years,15.9
Persons who drink more than once per week,2021,Female,30 - 34 years,15.8
Persons who drink more than once per week,2021,Female,35 - 39 years,18.8
Persons who drink more than once per week,2021,Female,40 - 44 years,24.4
Persons who drink more than once per week,2021,Female,45 - 49 years,23.9
Persons who drink more than once per week,2021,Female,50 - 54 years,24.6
Persons who drink more than once per week,2021,Female,55 - 59 years,22.9
Persons who drink more than once per week,2021,Female,60 - 64 years,24
Persons who drink more than once per week,2021,Female,65 - 69 years,23.2
Persons who drink more than once per week,2021,Female,70 - 74 years,18.4
Persons who drink more than once per week,2021,Female,75 years and over,14.9
Persons who drink more than once per week,2022,Male,15 - 19 years,8.7
Persons who drink more than once per week,2022,Male,20 - 24 years,19.6
Persons who drink more than once per week,2022,Male,25 - 29 years,23.3
Persons who drink more than once per week,2022,Male,30 - 34 years,20.3
Persons who drink more than once per week,2022,Male,35 - 39 years,19.1
Persons who drink more than once per week,2022,Male,40 - 44 years,20.5
Persons who drink more than once per week,2022,Male,45 - 49 years,28.9
Persons who drink more than once per week,2022,Male,50 - 54 years,27.6
Persons who drink more than once per week,2022,Male,55 - 59 years,33.3
Persons who drink more than once per week,2022,Male,60 - 64 years,35.7
Persons who drink more than once per week,2022,Male,65 - 69 years,31.6
Persons who drink more than once per week,2022,Male,70 - 74 years,33.3
Persons who drink more than once per week,2022,Male,75 years and over,35.6
Persons who drink more than once per week,2022,Female,15 - 19 years,10.8
Persons who drink more than once per week,2022,Female,20 - 24 years,14
Persons who drink more than once per week,2022,Female,25 - 29 years,8
Persons who drink more than once per week,2022,Female,30 - 34 years,11.6
Persons who drink more than once per week,2022,Female,35 - 39 years,13.5
Persons who drink more than once per week,2022,Female,40 - 44 years,19.9
Persons who drink more than once per week,2022,Female,45 - 49 years,25.3
Persons who drink more than once per week,2022,Female,50 - 54 years,24.8
Persons who drink more than once per week,2022,Female,55 - 59 years,21.4
Persons who drink more than once per week,2022,Female,60 - 64 years,24.2
Persons who drink more than once per week,2022,Female,65 - 69 years,21.4
Persons who drink more than once per week,2022,Female,70 - 74 years,18.4
Persons who drink more than once per week,2022,Female,75 years and over,14.9
Persons who drink more than once per week,2023,Male,15 - 19 years,8.3
Persons who drink more than once per week,2023,Male,20 - 24 years,13.3
Persons who drink more than once per week,2023,Male,25 - 29 years,14
Persons who drink more than once per week,2023,Male,30 - 34 years,17.5
Persons who drink more than once per week,2023,Male,35 - 39 years,23.3
Persons who drink more than once per week,2023,Male,40 - 44 years,25.4
Persons who drink more than once per week,2023,Male,45 - 49 years,23.5
Persons who drink more than once per week,2023,Male,50 - 54 years,29.8
Persons who drink more than once per week,2023,Male,55 - 59 years,31.8
Persons who drink more than once per week,2023,Male,60 - 64 years,33.4
Persons who drink more than once per week,2023,Male,65 - 69 years,34
Persons who drink more than once per week,2023,Male,70 - 74 years,35.8
Persons who drink more than once per week,2023,Male,75 years and over,31.7
Persons who drink more than once per week,2023,Female,15 - 19 years,3.7
Persons who drink more than once per week,2023,Female,20 - 24 years,7.1
Persons who drink more than once per week,2023,Female,25 - 29 years,9
Persons who drink more than once per week,2023,Female,30 - 34 years,12.5
Persons who drink more than once per week,2023,Female,35 - 39 years,12.5
Persons who drink more than once per week,2023,Female,40 - 44 years,22.7
Persons who drink more than once per week,2023,Female,45 - 49 years,21.8
Persons who drink more than once per week,2023,Female,50 - 54 years,23
Persons who drink more than once per week,2023,Female,55 - 59 years,25.5
Persons who drink more than once per week,2023,Female,60 - 64 years,28.6
Persons who drink more than once per week,2023,Female,65 - 69 years,25.8
Persons who drink more than once per week,2023,Female,70 - 74 years,18
Persons who drink more than once per week,2023,Female,75 years and over,15.8
Persons who drink more than once per week,2024,Male,15 - 19 years,16.8
Persons who drink more than once per week,2024,Male,20 - 24 years,14.2
Persons who drink more than once per week,2024,Male,25 - 29 years,17.3
Persons who drink more than once per week,2024,Male,30 - 34 years,20.7
Persons who drink more than once per week,2024,Male,35 - 39 years,19
Persons who drink more than once per week,2024,Male,40 - 44 years,24.2
Persons who drink more than once per week,2024,Male,45 - 49 years,34.1
Persons who drink more than once per week,2024,Male,50 - 54 years,38.1
Persons who drink more than once per week,2024,Male,55 - 59 years,32.6
Persons who drink more than once per week,2024,Male,60 - 64 years,36.8
Persons who drink more than once per week,2024,Male,65 - 69 years,33.3
Persons who drink more than once per week,2024,Male,70 - 74 years,32.9
Persons who drink more than once per week,2024,Male,75 years and over,31.8
Persons who drink more than once per week,2024,Female,15 - 19 years,8.9
Persons who drink more than once per week,2024,Female,20 - 24 years,11.8
Persons who drink more than once per week,2024,Female,25 - 29 years,13.1
Persons who drink more than once per week,2024,Female,30 - 34 years,9.2
Persons who drink more than once per week,2024,Female,35 - 39 years,11.5
Persons who drink more than once per week,2024,Female,40 - 44 years,15.1
Persons who drink more than once per week,2024,Female,45 - 49 years,21
Persons who drink more than once per week,2024,Female,50 - 54 years,20.5
Persons who drink more than once per week,2024,Female,55 - 59 years,25
Persons who drink more than once per week,2024,Female,60 - 64 years,28.9
Persons who drink more than once per week,2024,Female,65 - 69 years,30
Persons who drink more than once per week,2024,Female,70 - 74 years,14.2
Persons who drink more than once per week,2024,Female,75 years and over,16.7
Persons who drink more than once per week,2025,Male,15 - 19 years,8.8
Persons who drink more than once per week,2025,Male,20 - 24 years,14.8
Persons who drink more than once per week,2025,Male,25 - 29 years,11.9
Persons who drink more than once per week,2025,Male,30 - 34 years,17.5
Persons who drink more than once per week,2025,Male,35 - 39 years,12.5
Persons who drink more than once per week,2025,Male,40 - 44 years,19.8
Persons who drink more than once per week,2025,Male,45 - 49 years,29
Persons who drink more than once per week,2025,Male,50 - 54 years,28.1
Persons who drink more than once per week,2025,Male,55 - 59 years,32.4
Persons who drink more than once per week,2025,Male,60 - 64 years,35.5
Persons who drink more than once per week,2025,Male,65 - 69 years,33.4
Persons who drink more than once per week,2025,Male,70 - 74 years,41.5
Persons who drink more than once per week,2025,Male,75 years and over,32.3
Persons who drink more than once per week,2025,Female,15 - 19 years,9.6
Persons who drink more than once per week,2025,Female,20 - 24 years,11.3
Persons who drink more than once per week,2025,Female,25 - 29 years,8.7
Persons who drink more than once per week,2025,Female,30 - 34 years,7
Persons who drink more than once per week,2025,Female,35 - 39 years,12.4
Persons who drink more than once per week,2025,Female,40 - 44 years,14.6
Persons who drink more than once per week,2025,Female,45 - 49 years,19.4
Persons who drink more than once per week,2025,Female,50 - 54 years,25.1
Persons who drink more than once per week,2025,Female,55 - 59 years,27.1
Persons who drink more than once per week,2025,Female,60 - 64 years,29.4
Persons who drink more than once per week,2025,Female,65 - 69 years,21.3
Persons who drink more than once per week,2025,Female,70 - 74 years,21
Persons who drink more than once per week,2025,Female,75 years and over,15.9
Persons who drink only once per week,2015,Male,15 - 19 years,8.1
Persons who drink only once per week,2015,Male,20 - 24 years,26.9
Persons who drink only once per week,2015,Male,25 - 29 years,26.3
Persons who drink only once per week,2015,Male,30 - 34 years,20.3
Persons who drink only once per week,2015,Male,35 - 39 years,15
Persons who drink only once per week,2015,Male,40 - 44 years,20.3
Persons who drink only once per week,2015,Male,45 - 49 years,21.4
Persons who drink only once per week,2015,Male,50 - 54 years,15.9
Persons who drink only once per week,2015,Male,55 - 59 years,24.5
Persons who drink only once per week,2015,Male,60 - 64 years,13.6
Persons who drink only once per week,2015,Male,65 - 69 years,13.5
Persons who drink only once per week,2015,Male,70 - 74 years,9.6
Persons who drink only once per week,2015,Male,75 years and over,13.6
Persons who drink only once per week,2015,Female,15 - 19 years,6.2
Persons who drink only once per week,2015,Female,20 - 24 years,22.5
Persons who drink only once per week,2015,Female,25 - 29 years,16.7
Persons who drink only once per week,2015,Female,30 - 34 years,20.3
Persons who drink only once per week,2015,Female,35 - 39 years,15.5
Persons who drink only once per week,2015,Female,40 - 44 years,18.9
Persons who drink only once per week,2015,Female,45 - 49 years,16.5
Persons who drink only once per week,2015,Female,50 - 54 years,15.8
Persons who drink only once per week,2015,Female,55 - 59 years,16
Persons who drink only once per week,2015,Female,60 - 64 years,12.4
Persons who drink only once per week,2015,Female,65 - 69 years,13.6
Persons who drink only once per week,2015,Female,70 - 74 years,11.5
Persons who drink only once per week,2015,Female,75 years and over,7.3
Persons who drink only once per week,2016,Male,15 - 19 years,10.3
Persons who drink only once per week,2016,Male,20 - 24 years,30.1
Persons who drink only once per week,2016,Male,25 - 29 years,19.9
Persons who drink only once per week,2016,Male,30 - 34 years,22.1
Persons who drink only once per week,2016,Male,35 - 39 years,17.5
Persons who drink only once per week,2016,Male,40 - 44 years,21.6
Persons who drink only once per week,2016,Male,45 - 49 years,15.6
Persons who drink only once per week,2016,Male,50 - 54 years,19.5
Persons who drink only once per week,2016,Male,55 - 59 years,20.4
Persons who drink only once per week,2016,Male,60 - 64 years,24.6
Persons who drink only once per week,2016,Male,65 - 69 years,18.6
Persons who drink only once per week,2016,Male,70 - 74 years,17.3
Persons who drink only once per week,2016,Male,75 years and over,14.2
Persons who drink only once per week,2016,Female,15 - 19 years,5.8
Persons who drink only once per week,2016,Female,20 - 24 years,21.9
Persons who drink only once per week,2016,Female,25 - 29 years,17.4
Persons who drink only once per week,2016,Female,30 - 34 years,18.4
Persons who drink only once per week,2016,Female,35 - 39 years,15.5
Persons who drink only once per week,2016,Female,40 - 44 years,21.6
Persons who drink only once per week,2016,Female,45 - 49 years,15.6
Persons who drink only once per week,2016,Female,50 - 54 years,19.7
Persons who drink only once per week,2016,Female,55 - 59 years,17.1
Persons who drink only once per week,2016,Female,60 - 64 years,17
Persons who drink only once per week,2016,Female,65 - 69 years,11.8
Persons who drink only once per week,2016,Female,70 - 74 years,8.6
Persons who drink only once per week,2016,Female,75 years and over,6.4
Persons who drink only once per week,2017,Male,15 - 19 years,8.6
Persons who drink only once per week,2017,Male,20 - 24 years,24.9
Persons who drink only once per week,2017,Male,25 - 29 years,18.3
Persons who drink only once per week,2017,Male,30 - 34 years,20.4
Persons who drink only once per week,2017,Male,35 - 39 years,25.4
Persons who drink only once per week,2017,Male,40 - 44 years,16.3
Persons who drink only once per week,2017,Male,45 - 49 years,20.1
Persons who drink only once per week,2017,Male,50 - 54 years,16.4
Persons who drink only once per week,2017,Male,55 - 59 years,20.7
Persons who drink only once per week,2017,Male,60 - 64 years,15.5
Persons who drink only once per week,2017,Male,65 - 69 years,15.3
Persons who drink only once per week,2017,Male,70 - 74 years,14.7
Persons who drink only once per week,2017,Male,75 years and over,12.4
Persons who drink only once per week,2017,Female,15 - 19 years,6.2
Persons who drink only once per week,2017,Female,20 - 24 years,22.5
Persons who drink only once per week,2017,Female,25 - 29 years,17.5
Persons who drink only once per week,2017,Female,30 - 34 years,17.5
Persons who drink only once per week,2017,Female,35 - 39 years,15.6
Persons who drink only once per week,2017,Female,40 - 44 years,18.7
Persons who drink only once per week,2017,Female,45 - 49 years,19.7
Persons who drink only once per week,2017,Female,50 - 54 years,19.9
Persons who drink only once per week,2017,Female,55 - 59 years,16.6
Persons who drink only once per week,2017,Female,60 - 64 years,11.6
Persons who drink only once per week,2017,Female,65 - 69 years,14.4
Persons who drink only once per week,2017,Female,70 - 74 years,10.7
Persons who drink only once per week,2017,Female,75 years and over,6.3
Persons who drink only once per week,2018,Male,15 - 19 years,8.5
Persons who drink only once per week,2018,Male,20 - 24 years,29.3
Persons who drink only once per week,2018,Male,25 - 29 years,17.9
Persons who drink only once per week,2018,Male,30 - 34 years,25.6
Persons who drink only once per week,2018,Male,35 - 39 years,22
Persons who drink only once per week,2018,Male,40 - 44 years,23.3
Persons who drink only once per week,2018,Male,45 - 49 years,26.8
Persons who drink only once per week,2018,Male,50 - 54 years,18.3
Persons who drink only once per week,2018,Male,55 - 59 years,20.2
Persons who drink only once per week,2018,Male,60 - 64 years,22.7
Persons who drink only once per week,2018,Male,65 - 69 years,18.1
Persons who drink only once per week,2018,Male,70 - 74 years,17.5
Persons who drink only once per week,2018,Male,75 years and over,13.1
Persons who drink only once per week,2018,Female,15 - 19 years,7
Persons who drink only once per week,2018,Female,20 - 24 years,21.5
Persons who drink only once per week,2018,Female,25 - 29 years,27.7
Persons who drink only once per week,2018,Female,30 - 34 years,19.8
Persons who drink only once per week,2018,Female,35 - 39 years,18.6
Persons who drink only once per week,2018,Female,40 - 44 years,19.4
Persons who drink only once per week,2018,Female,45 - 49 years,18.4
Persons who drink only once per week,2018,Female,50 - 54 years,16.8
Persons who drink only once per week,2018,Female,55 - 59 years,22.9
Persons who drink only once per week,2018,Female,60 - 64 years,12.4
Persons who drink only once per week,2018,Female,65 - 69 years,14.7
Persons who drink only once per week,2018,Female,70 - 74 years,10.3
Persons who drink only once per week,2018,Female,75 years and over,7.8
Persons who drink only once per week,2021,Male,15 - 19 years,10.9
Persons who drink only once per week,2021,Male,20 - 24 years,18.3
Persons who drink only once per week,2021,Male,25 - 29 years,19.8
Persons who drink only once per week,2021,Male,30 - 34 years,21.5
Persons who drink only once per week,2021,Male,35 - 39 years,19.8
Persons who drink only once per week,2021,Male,40 - 44 years,13.4
Persons who drink only once per week,2021,Male,45 - 49 years,17.6
Persons who drink only once per week,2021,Male,50 - 54 years,14.8
Persons who drink only once per week,2021,Male,55 - 59 years,13.5
Persons who drink only once per week,2021,Male,60 - 64 years,16.9
Persons who drink only once per week,2021,Male,65 - 69 years,15.8
Persons who drink only once per week,2021,Male,70 - 74 years,15.4
Persons who drink only once per week,2021,Male,75 years and over,8.4
Persons who drink only once per week,2021,Female,15 - 19 years,3.2
Persons who drink only once per week,2021,Female,20 - 24 years,16.1
Persons who drink only once per week,2021,Female,25 - 29 years,21.2
Persons who drink only once per week,2021,Female,30 - 34 years,17.4
Persons who drink only once per week,2021,Female,35 - 39 years,17.6
Persons who drink only once per week,2021,Female,40 - 44 years,17
Persons who drink only once per week,2021,Female,45 - 49 years,20.9
Persons who drink only once per week,2021,Female,50 - 54 years,18.7
Persons who drink only once per week,2021,Female,55 - 59 years,15.8
Persons who drink only once per week,2021,Female,60 - 64 years,14
Persons who drink only once per week,2021,Female,65 - 69 years,10.7
Persons who drink only once per week,2021,Female,70 - 74 years,11.2
Persons who drink only once per week,2021,Female,75 years and over,6.2
Persons who drink only once per week,2022,Male,15 - 19 years,6.7
Persons who drink only once per week,2022,Male,20 - 24 years,17
Persons who drink only once per week,2022,Male,25 - 29 years,21.3
Persons who drink only once per week,2022,Male,30 - 34 years,22.3
Persons who drink only once per week,2022,Male,35 - 39 years,12.9
Persons who drink only once per week,2022,Male,40 - 44 years,22.9
Persons who drink only once per week,2022,Male,45 - 49 years,13.1
Persons who drink only once per week,2022,Male,50 - 54 years,18.6
Persons who drink only once per week,2022,Male,55 - 59 years,13.4
Persons who drink only once per week,2022,Male,60 - 64 years,17.4
Persons who drink only once per week,2022,Male,65 - 69 years,12.9
Persons who drink only once per week,2022,Male,70 - 74 years,14.8
Persons who drink only once per week,2022,Male,75 years and over,17.3
Persons who drink only once per week,2022,Female,15 - 19 years,9.5
Persons who drink only once per week,2022,Female,20 - 24 years,17.8
Persons who drink only once per week,2022,Female,25 - 29 years,17.6
Persons who drink only once per week,2022,Female,30 - 34 years,14.2
Persons who drink only once per week,2022,Female,35 - 39 years,17.5
Persons who drink only once per week,2022,Female,40 - 44 years,16.2
Persons who drink only once per week,2022,Female,45 - 49 years,12.8
Persons who drink only once per week,2022,Female,50 - 54 years,22
Persons who drink only once per week,2022,Female,55 - 59 years,20.2
Persons who drink only once per week,2022,Female,60 - 64 years,17.6
Persons who drink only once per week,2022,Female,65 - 69 years,18
Persons who drink only once per week,2022,Female,70 - 74 years,10.1
Persons who drink only once per week,2022,Female,75 years and over,3.4
Persons who drink only once per week,2023,Male,15 - 19 years,21.9
Persons who drink only once per week,2023,Male,20 - 24 years,21.2
Persons who drink only once per week,2023,Male,25 - 29 years,14.4
Persons who drink only once per week,2023,Male,30 - 34 years,21.3
Persons who drink only once per week,2023,Male,35 - 39 years,17.6
Persons who drink only once per week,2023,Male,40 - 44 years,16.5
Persons who drink only once per week,2023,Male,45 - 49 years,19.7
Persons who drink only once per week,2023,Male,50 - 54 years,19
Persons who drink only once per week,2023,Male,55 - 59 years,17.7
Persons who drink only once per week,2023,Male,60 - 64 years,21.7
Persons who drink only once per week,2023,Male,65 - 69 years,20.5
Persons who drink only once per week,2023,Male,70 - 74 years,16.6
Persons who drink only once per week,2023,Male,75 years and over,11.8
Persons who drink only once per week,2023,Female,15 - 19 years,11.3
Persons who drink only once per week,2023,Female,20 - 24 years,20.7
Persons who drink only once per week,2023,Female,25 - 29 years,12.8
Persons who drink only once per week,2023,Female,30 - 34 years,17.5
Persons who drink only once per week,2023,Female,35 - 39 years,16.9
Persons who drink only once per week,2023,Female,40 - 44 years,17.4
Persons who drink only once per week,2023,Female,45 - 49 years,20
Persons who drink only once per week,2023,Female,50 - 54 years,16
Persons who drink only once per week,2023,Female,55 - 59 years,16.5
Persons who drink only once per week,2023,Female,60 - 64 years,15.7
Persons who drink only once per week,2023,Female,65 - 69 years,10.3
Persons who drink only once per week,2023,Female,70 - 74 years,14
Persons who drink only once per week,2023,Female,75 years and over,14.6
Persons who drink only once per week,2024,Male,15 - 19 years,5.3
Persons who drink only once per week,2024,Male,20 - 24 years,21.1
Persons who drink only once per week,2024,Male,25 - 29 years,21.3
Persons who drink only once per week,2024,Male,30 - 34 years,16.7
Persons who drink only once per week,2024,Male,35 - 39 years,14.3
Persons who drink only once per week,2024,Male,40 - 44 years,15.6
Persons who drink only once per week,2024,Male,45 - 49 years,14.7
Persons who drink only once per week,2024,Male,50 - 54 years,18.2
Persons who drink only once per week,2024,Male,55 - 59 years,15.5
Persons who drink only once per week,2024,Male,60 - 64 years,17.9
Persons who drink only once per week,2024,Male,65 - 69 years,18.7
Persons who drink only once per week,2024,Male,70 - 74 years,14.7
Persons who drink only once per week,2024,Male,75 years and over,12.5
Persons who drink only once per week,2024,Female,15 - 19 years,13.3
Persons who drink only once per week,2024,Female,20 - 24 years,19.6
Persons who drink only once per week,2024,Female,25 - 29 years,10.2
Persons who drink only once per week,2024,Female,30 - 34 years,16.1
Persons who drink only once per week,2024,Female,35 - 39 years,13.9
Persons who drink only once per week,2024,Female,40 - 44 years,18.7
Persons who drink only once per week,2024,Female,45 - 49 years,15.8
Persons who drink only once per week,2024,Female,50 - 54 years,16.6
Persons who drink only once per week,2024,Female,55 - 59 years,22
Persons who drink only once per week,2024,Female,60 - 64 years,14.1
Persons who drink only once per week,2024,Female,65 - 69 years,14.1
Persons who drink only once per week,2024,Female,70 - 74 years,15
Persons who drink only once per week,2024,Female,75 years and over,8.4
Persons who drink only once per week,2025,Male,15 - 19 years,13.6
Persons who drink only once per week,2025,Male,20 - 24 years,21.3
Persons who drink only once per week,2025,Male,25 - 29 years,16.8
Persons who drink only once per week,2025,Male,30 - 34 years,17.2
Persons who drink only once per week,2025,Male,35 - 39 years,14.7
Persons who drink only once per week,2025,Male,40 - 44 years,20.2
Persons who drink only once per week,2025,Male,45 - 49 years,12.6
Persons who drink only once per week,2025,Male,50 - 54 years,16.8
Persons who drink only once per week,2025,Male,55 - 59 years,18.1
Persons who drink only once per week,2025,Male,60 - 64 years,13.1
Persons who drink only once per week,2025,Male,65 - 69 years,13.4
Persons who drink only once per week,2025,Male,70 - 74 years,16.1
Persons who drink only once per week,2025,Male,75 years and over,15.2
Persons who drink only once per week,2025,Female,15 - 19 years,13.6
Persons who drink only once per week,2025,Female,20 - 24 years,13.3
Persons who drink only once per week,2025,Female,25 - 29 years,10.6
Persons who drink only once per week,2025,Female,30 - 34 years,11.2
Persons who drink only once per week,2025,Female,35 - 39 years,13.4
Persons who drink only once per week,2025,Female,40 - 44 years,18.9
Persons who drink only once per week,2025,Female,45 - 49 years,16.9
Persons who drink only once per week,2025,Female,50 - 54 years,13.1
Persons who drink only once per week,2025,Female,55 - 59 years,14.9
Persons who drink only once per week,2025,Female,60 - 64 years,17.9
Persons who drink only once per week,2025,Female,65 - 69 years,11.8
Persons who drink only once per week,2025,Female,70 - 74 years,14.3
Persons who drink only once per week,2025,Female,75 years and over,11.8
Persons who drink 1 to 3 times per month,2015,Male,15 - 19 years,29.9
Persons who drink 1 to 3 times per month,2015,Male,20 - 24 years,26.8
Persons who drink 1 to 3 times per month,2015,Male,25 - 29 years,24.3
Persons who drink 1 to 3 times per month,2015,Male,30 - 34 years,27.7
Persons who drink 1 to 3 times per month,2015,Male,35 - 39 years,29.3
Persons who drink 1 to 3 times per month,2015,Male,40 - 44 years,24.5
Persons who drink 1 to 3 times per month,2015,Male,45 - 49 years,14.8
Persons who drink 1 to 3 times per month,2015,Male,50 - 54 years,12.7
