table_name,Statistic,Year,Sex,Age.Group,value
alcohol,Persons who drink more than once per week,2015,Female,70 - 74 years,18
alcohol,Persons who drink more than once per week,2015,Female,75 years and over,13.4
alcohol,Persons who drink more than once per week,2016,Both sexes,All ages,24
alcohol,Persons who drink more than once per week,2016,Both sexes,15 - 19 years,9.1
alcohol,Persons who drink more than once per week,2016,Both sexes,20 - 24 years,20.8
alcohol,Persons who drink more than once per week,2016,Both sexes,25 - 29 years,15.2
alcohol,Persons who drink more than once per week,2016,Both sexes,30 - 34 years,22.5
alcohol,Persons who drink more than once per week,2016,Both sexes,35 - 39 years,26.3
alcohol,Persons who drink more than once per week,2016,Both sexes,40 - 44 years,27.3
alcohol,Persons who drink more than once per week,2016,Both sexes,45 - 49 years,32.6
alcohol,Persons who drink more than once per week,2016,Both sexes,50 - 54 years,27.5
alcohol,Persons who drink more than once per week,2016,Both sexes,55 - 59 years,31.3
alcohol,Persons who drink more than once per week,2016,Both sexes,60 - 64 years,31.3
alcohol,Persons who drink more than once per week,2016,Both sexes,65 - 69 years,24.8
alcohol,Persons who drink more than once per week,2016,Both sexes,70 - 74 years,25.5
alcohol,Persons who drink more than once per week,2016,Both sexes,75 years and over,18.7
alcohol,Persons who drink more than once per week,2016,Male,All ages,30.1
alcohol,Persons who drink more than once per week,2016,Male,15 - 19 years,10.5
alcohol,Persons who drink more than once per week,2016,Male,20 - 24 years,23.1
alcohol,Persons who drink more than once per week,2016,Male,25 - 29 years,20.9
alcohol,Persons who drink more than once per week,2016,Male,30 - 34 years,32.8
alcohol,Persons who drink more than once per week,2016,Male,35 - 39 years,34.9
alcohol,Persons who drink more than once per week,2016,Male,40 - 44 years,33.7
alcohol,Persons who drink more than once per week,2016,Male,45 - 49 years,38.9
alcohol,Persons who drink more than once per week,2016,Male,50 - 54 years,28.7
alcohol,Persons who drink more than once per week,2016,Male,55 - 59 years,40.4
alcohol,Persons who drink more than once per week,2016,Male,60 - 64 years,40
alcohol,Persons who drink more than once per week,2016,Male,65 - 69 years,33
alcohol,Persons who drink more than once per week,2016,Male,70 - 74 years,30.8
alcohol,Persons who drink more than once per week,2016,Male,75 years and over,24.6
alcohol,Persons who drink more than once per week,2016,Female,All ages,18.2
alcohol,Persons who drink more than once per week,2016,Female,15 - 19 years,7.5
alcohol,Persons who drink more than once per week,2016,Female,20 - 24 years,18.5
alcohol,Persons who drink more than once per week,2016,Female,25 - 29 years,9.5
alcohol,Persons who drink more than once per week,2016,Female,30 - 34 years,13.8
alcohol,Persons who drink more than once per week,2016,Female,35 - 39 years,17.3
alcohol,Persons who drink more than once per week,2016,Female,40 - 44 years,21.6
alcohol,Persons who drink more than once per week,2016,Female,45 - 49 years,26.8
alcohol,Persons who drink more than once per week,2016,Female,50 - 54 years,26.3
alcohol,Persons who drink more than once per week,2016,Female,55 - 59 years,23.5
alcohol,Persons who drink more than once per week,2016,Female,60 - 64 years,21.4
alcohol,Persons who drink more than once per week,2016,Female,65 - 69 years,17.7
alcohol,Persons who drink more than once per week,2016,Female,70 - 74 years,20.1
alcohol,Persons who drink more than once per week,2016,Female,75 years and over,14.3
alcohol,Persons who drink more than once per week,2017,Both sexes,All ages,24.6
alcohol,Persons who drink more than once per week,2017,Both sexes,15 - 19 years,5.6
alcohol,Persons who drink more than once per week,2017,Both sexes,20 - 24 years,18.1
alcohol,Persons who drink more than once per week,2017,Both sexes,25 - 29 years,22.6
alcohol,Persons who drink more than once per week,2017,Both sexes,30 - 34 years,19.5
alcohol,Persons who drink more than once per week,2017,Both sexes,35 - 39 years,25.2
alcohol,Persons who drink more than once per week,2017,Both sexes,40 - 44 years,27.5
alcohol,Persons who drink more than once per week,2017,Both sexes,45 - 49 years,30.7
alcohol,Persons who drink more than once per week,2017,Both sexes,50 - 54 years,35.4
alcohol,Persons who drink more than once per week,2017,Both sexes,55 - 59 years,26.7
alcohol,Persons who drink more than once per week,2017,Both sexes,60 - 64 years,35.7
alcohol,Persons who drink more than once per week,2017,Both sexes,65 - 69 years,28.3
alcohol,Persons who drink more than once per week,2017,Both sexes,70 - 74 years,25.5
alcohol,Persons who drink more than once per week,2017,Both sexes,75 years and over,21.9
alcohol,Persons who drink more than once per week,2017,Male,All ages,30.6
alcohol,Persons who drink more than once per week,2017,Male,15 - 19 years,6.5
alcohol,Persons who drink more than once per week,2017,Male,20 - 24 years,24.6
alcohol,Persons who drink more than once per week,2017,Male,25 - 29 years,33.2
alcohol,Persons who drink more than once per week,2017,Male,30 - 34 years,24.1
alcohol,Persons who drink more than once per week,2017,Male,35 - 39 years,30.5
alcohol,Persons who drink more than once per week,2017,Male,40 - 44 years,30.6
alcohol,Persons who drink more than once per week,2017,Male,45 - 49 years,32.5
alcohol,Persons who drink more than once per week,2017,Male,50 - 54 years,44.9
alcohol,Persons who drink more than once per week,2017,Male,55 - 59 years,32.9
alcohol,Persons who drink more than once per week,2017,Male,60 - 64 years,44.6
alcohol,Persons who drink more than once per week,2017,Male,65 - 69 years,37.7
alcohol,Persons who drink more than once per week,2017,Male,70 - 74 years,33.8
alcohol,Persons who drink more than once per week,2017,Male,75 years and over,29.7
alcohol,Persons who drink more than once per week,2017,Female,All ages,18.9
alcohol,Persons who drink more than once per week,2017,Female,15 - 19 years,4.6
alcohol,Persons who drink more than once per week,2017,Female,20 - 24 years,11.9
alcohol,Persons who drink more than once per week,2017,Female,25 - 29 years,10.3
alcohol,Persons who drink more than once per week,2017,Female,30 - 34 years,15.9
alcohol,Persons who drink more than once per week,2017,Female,35 - 39 years,20.2
alcohol,Persons who drink more than once per week,2017,Female,40 - 44 years,24.4
alcohol,Persons who drink more than once per week,2017,Female,45 - 49 years,28.8
alcohol,Persons who drink more than once per week,2017,Female,50 - 54 years,26.5
alcohol,Persons who drink more than once per week,2017,Female,55 - 59 years,21.1
alcohol,Persons who drink more than once per week,2017,Female,60 - 64 years,26
alcohol,Persons who drink more than once per week,2017,Female,65 - 69 years,20.2
alcohol,Persons who drink more than once per week,2017,Female,70 - 74 years,17.7
alcohol,Persons who drink more than once per week,2017,Female,75 years and over,15.5
alcohol,Persons who drink more than once per week,2018,Both sexes,All ages,22.8
alcohol,Persons who drink more than once per week,2018,Both sexes,15 - 19 years,4.6
alcohol,Persons who drink more than once per week,2018,Both sexes,20 - 24 years,16.2
alcohol,Persons who drink more than once per week,2018,Both sexes,25 - 29 years,20.6
alcohol,Persons who drink more than once per week,2018,Both sexes,30 - 34 years,22
alcohol,Persons who drink more than once per week,2018,Both sexes,35 - 39 years,20.2
alcohol,Persons who drink more than once per week,2018,Both sexes,40 - 44 years,26.8
alcohol,Persons who drink more than once per week,2018,Both sexes,45 - 49 years,26.4
alcohol,Persons who drink more than once per week,2018,Both sexes,50 - 54 years,32.6
alcohol,Persons who drink more than once per week,2018,Both sexes,55 - 59 years,29.1
alcohol,Persons who drink more than once per week,2018,Both sexes,60 - 64 years,30.8
alcohol,Persons who drink more than once per week,2018,Both sexes,65 - 69 years,29.2
alcohol,Persons who drink more than once per week,2018,Both sexes,70 - 74 years,23.3
alcohol,Persons who drink more than once per week,2018,Both sexes,75 years and over,18
alcohol,Persons who drink more than once per week,2018,Male,All ages,28
alcohol,Persons who drink more than once per week,2018,Male,15 - 19 years,7.2
alcohol,Persons who drink more than once per week,2018,Male,20 - 24 years,18.9
alcohol,Persons who drink more than once per week,2018,Male,25 - 29 years,31.4
alcohol,Persons who drink more than once per week,2018,Male,30 - 34 years,31.6
alcohol,Persons who drink more than once per week,2018,Male,35 - 39 years,25.2
alcohol,Persons who drink more than once per week,2018,Male,40 - 44 years,29.4
alcohol,Persons who drink more than once per week,2018,Male,45 - 49 years,27.9
alcohol,Persons who drink more than once per week,2018,Male,50 - 54 years,36.8
alcohol,Persons who drink more than once per week,2018,Male,55 - 59 years,33.3
alcohol,Persons who drink more than once per week,2018,Male,60 - 64 years,35.9
alcohol,Persons who drink more than once per week,2018,Male,65 - 69 years,39.1
alcohol,Persons who drink more than once per week,2018,Male,70 - 74 years,31.5
alcohol,Persons who drink more than once per week,2018,Male,75 years and over,22.7
alcohol,Persons who drink more than once per week,2018,Female,All ages,17.9
alcohol,Persons who drink more than once per week,2018,Female,15 - 19 years,1.9
alcohol,Persons who drink more than once per week,2018,Female,20 - 24 years,13.4
alcohol,Persons who drink more than once per week,2018,Female,25 - 29 years,9.3
alcohol,Persons who drink more than once per week,2018,Female,30 - 34 years,13.7
alcohol,Persons who drink more than once per week,2018,Female,35 - 39 years,15.3
alcohol,Persons who drink more than once per week,2018,Female,40 - 44 years,24.3
alcohol,Persons who drink more than once per week,2018,Female,45 - 49 years,25
alcohol,Persons who drink more than once per week,2018,Female,50 - 54 years,28.3
alcohol,Persons who drink more than once per week,2018,Female,55 - 59 years,24.7
alcohol,Persons who drink more than once per week,2018,Female,60 - 64 years,26.1
alcohol,Persons who drink more than once per week,2018,Female,65 - 69 years,20.2
alcohol,Persons who drink more than once per week,2018,Female,70 - 74 years,16.3
alcohol,Persons who drink more than once per week,2018,Female,75 years and over,14
alcohol,Persons who drink more than once per week,2021,Both sexes,All ages,22
alcohol,Persons who drink more than once per week,2021,Both sexes,15 - 19 years,7.3
alcohol,Persons who drink more than once per week,2021,Both sexes,20 - 24 years,13.8
alcohol,Persons who drink more than once per week,2021,Both sexes,25 - 29 years,17.7
alcohol,Persons who drink more than once per week,2021,Both sexes,30 - 34 years,19.8
alcohol,Persons who drink more than once per week,2021,Both sexes,35 - 39 years,22.6
alcohol,Persons who drink more than once per week,2021,Both sexes,40 - 44 years,27
alcohol,Persons who drink more than once per week,2021,Both sexes,45 - 49 years,27.1
alcohol,Persons who drink more than once per week,2021,Both sexes,50 - 54 years,26.6
alcohol,Persons who drink more than once per week,2021,Both sexes,55 - 59 years,27.9
alcohol,Persons who drink more than once per week,2021,Both sexes,60 - 64 years,26.6
alcohol,Persons who drink more than once per week,2021,Both sexes,65 - 69 years,24.1
alcohol,Persons who drink more than once per week,2021,Both sexes,70 - 74 years,23.1
alcohol,Persons who drink more than once per week,2021,Both sexes,75 years and over,21.8
alcohol,Persons who drink more than once per week,2021,Male,All ages,25.6
alcohol,Persons who drink more than once per week,2021,Male,15 - 19 years,11
alcohol,Persons who drink more than once per week,2021,Male,20 - 24 years,19.2
alcohol,Persons who drink more than once per week,2021,Male,25 - 29 years,19.6
alcohol,Persons who drink more than once per week,2021,Male,30 - 34 years,23.9
alcohol,Persons who drink more than once per week,2021,Male,35 - 39 years,26.7
alcohol,Persons who drink more than once per week,2021,Male,40 - 44 years,29.7
alcohol,Persons who drink more than once per week,2021,Male,45 - 49 years,30.2
alcohol,Persons who drink more than once per week,2021,Male,50 - 54 years,28.6
alcohol,Persons who drink more than once per week,2021,Male,55 - 59 years,32.7
alcohol,Persons who drink more than once per week,2021,Male,60 - 64 years,29.3
alcohol,Persons who drink more than once per week,2021,Male,65 - 69 years,25.3
alcohol,Persons who drink more than once per week,2021,Male,70 - 74 years,28.7
alcohol,Persons who drink more than once per week,2021,Male,75 years and over,28.2
alcohol,Persons who drink more than once per week,2021,Female,All ages,18.5
alcohol,Persons who drink more than once per week,2021,Female,15 - 19 years,3.3
alcohol,Persons who drink more than once per week,2021,Female,20 - 24 years,8.4
alcohol,Persons who drink more than once per week,2021,Female,25 - 29 years,15.9
alcohol,Persons who drink more than once per week,2021,Female,30 - 34 years,15.8
alcohol,Persons who drink more than once per week,2021,Female,35 - 39 years,18.8
alcohol,Persons who drink more than once per week,2021,Female,40 - 44 years,24.4
alcohol,Persons who drink more than once per week,2021,Female,45 - 49 years,23.9
alcohol,Persons who drink more than once per week,2021,Female,50 - 54 years,24.6
alcohol,Persons who drink more than once per week,2021,Female,55 - 59 years,22.9
alcohol,Persons who drink more than once per week,2021,Female,60 - 64 years,24
alcohol,Persons who drink more than once per week,2021,Female,65 - 69 years,23.2
alcohol,Persons who drink more than once per week,2021,Female,70 - 74 years,18.4
alcohol,Persons who drink more than once per week,2021,Female,75 years and over,14.9
alcohol,Persons who drink more than once per week,2022,Both sexes,All ages,21.4
alcohol,Persons who drink more than once per week,2022,Both sexes,15 - 19 years,9.6
alcohol,Persons who drink more than once per week,2022,Both sexes,20 - 24 years,16.7
alcohol,Persons who drink more than once per week,2022,Both sexes,25 - 29 years,15.9
alcohol,Persons who drink more than once per week,2022,Both sexes,30 - 34 years,15.9
alcohol,Persons who drink more than once per week,2022,Both sexes,35 - 39 years,16.1
alcohol,Persons who drink more than once per week,2022,Both sexes,40 - 44 years,20.2
alcohol,Persons who drink more than once per week,2022,Both sexes,45 - 49 years,27
alcohol,Persons who drink more than once per week,2022,Both sexes,50 - 54 years,26.3
alcohol,Persons who drink more than once per week,2022,Both sexes,55 - 59 years,27.5
alcohol,Persons who drink more than once per week,2022,Both sexes,60 - 64 years,29.6
alcohol,Persons who drink more than once per week,2022,Both sexes,65 - 69 years,26.4
alcohol,Persons who drink more than once per week,2022,Both sexes,70 - 74 years,24.8
alcohol,Persons who drink more than once per week,2022,Both sexes,75 years and over,24.9
alcohol,Persons who drink more than once per week,2022,Male,All ages,25.3
alcohol,Persons who drink more than once per week,2022,Male,15 - 19 years,8.7
alcohol,Persons who drink more than once per week,2022,Male,20 - 24 years,19.6
alcohol,Persons who drink more than once per week,2022,Male,25 - 29 years,23.3
alcohol,Persons who drink more than once per week,2022,Male,30 - 34 years,20.3
alcohol,Persons who drink more than once per week,2022,Male,35 - 39 years,19.1
alcohol,Persons who drink more than once per week,2022,Male,40 - 44 years,20.5
alcohol,Persons who drink more than once per week,2022,Male,45 - 49 years,28.9
alcohol,Persons who drink more than once per week,2022,Male,50 - 54 years,27.6
alcohol,Persons who drink more than once per week,2022,Male,55 - 59 years,33.3
alcohol,Persons who drink more than once per week,2022,Male,60 - 64 years,35.7
alcohol,Persons who drink more than once per week,2022,Male,65 - 69 years,31.6
alcohol,Persons who drink more than once per week,2022,Male,70 - 74 years,33.3
alcohol,Persons who drink more than once per week,2022,Male,75 years and over,35.6
alcohol,Persons who drink more than once per week,2022,Female,All ages,17.6
alcohol,Persons who drink more than once per week,2022,Female,15 - 19 years,10.8
alcohol,Persons who drink more than once per week,2022,Female,20 - 24 years,14
alcohol,Persons who drink more than once per week,2022,Female,25 - 29 years,8
alcohol,Persons who drink more than once per week,2022,Female,30 - 34 years,11.6
alcohol,Persons who drink more than once per week,2022,Female,35 - 39 years,13.5
alcohol,Persons who drink more than once per week,2022,Female,40 - 44 years,19.9
alcohol,Persons who drink more than once per week,2022,Female,45 - 49 years,25.3
alcohol,Persons who drink more than once per week,2022,Female,50 - 54 years,24.8
alcohol,Persons who drink more than once per week,2022,Female,55 - 59 years,21.4
alcohol,Persons who drink more than once per week,2022,Female,60 - 64 years,24.2
alcohol,Persons who drink more than once per week,2022,Female,65 - 69 years,21.4
alcohol,Persons who drink more than once per week,2022,Female,70 - 74 years,18.4
alcohol,Persons who drink more than once per week,2022,Female,75 years and over,14.9
alcohol,Persons who drink more than once per week,2023,Both sexes,All ages,20.8
alcohol,Persons who drink more than once per week,2023,Both sexes,15 - 19 years,6.1
alcohol,Persons who drink more than once per week,2023,Both sexes,20 - 24 years,10.2
alcohol,Persons who drink more than once per week,2023,Both sexes,25 - 29 years,11.5
alcohol,Persons who drink more than once per week,2023,Both sexes,30 - 34 years,14.9
alcohol,Persons who drink more than once per week,2023,Both sexes,35 - 39 years,17.7
alcohol,Persons who drink more than once per week,2023,Both sexes,40 - 44 years,24
alcohol,Persons who drink more than once per week,2023,Both sexes,45 - 49 years,22.6
alcohol,Persons who drink more than once per week,2023,Both sexes,50 - 54 years,26.4
alcohol,Persons who drink more than once per week,2023,Both sexes,55 - 59 years,28.6
alcohol,Persons who drink more than once per week,2023,Both sexes,60 - 64 years,31
alcohol,Persons who drink more than once per week,2023,Both sexes,65 - 69 years,29.6
alcohol,Persons who drink more than once per week,2023,Both sexes,70 - 74 years,27.1
alcohol,Persons who drink more than once per week,2023,Both sexes,75 years and over,22.9
alcohol,Persons who drink more than once per week,2023,Male,All ages,24.3
alcohol,Persons who drink more than once per week,2023,Male,15 - 19 years,8.3
alcohol,Persons who drink more than once per week,2023,Male,20 - 24 years,13.3
alcohol,Persons who drink more than once per week,2023,Male,25 - 29 years,14
alcohol,Persons who drink more than once per week,2023,Male,30 - 34 years,17.5
alcohol,Persons who drink more than once per week,2023,Male,35 - 39 years,23.3
alcohol,Persons who drink more than once per week,2023,Male,40 - 44 years,25.4
alcohol,Persons who drink more than once per week,2023,Male,45 - 49 years,23.5
alcohol,Persons who drink more than once per week,2023,Male,50 - 54 years,29.8
alcohol,Persons who drink more than once per week,2023,Male,55 - 59 years,31.8
alcohol,Persons who drink more than once per week,2023,Male,60 - 64 years,33.4
alcohol,Persons who drink more than once per week,2023,Male,65 - 69 years,34
alcohol,Persons who drink more than once per week,2023,Male,70 - 74 years,35.8
alcohol,Persons who drink more than once per week,2023,Male,75 years and over,31.7
alcohol,Persons who drink more than once per week,2023,Female,All ages,17.5
alcohol,Persons who drink more than once per week,2023,Female,15 - 19 years,3.7
alcohol,Persons who drink more than once per week,2023,Female,20 - 24 years,7.1
alcohol,Persons who drink more than once per week,2023,Female,25 - 29 years,9
alcohol,Persons who drink more than once per week,2023,Female,30 - 34 years,12.5
alcohol,Persons who drink more than once per week,2023,Female,35 - 39 years,12.5
alcohol,Persons who drink more than once per week,2023,Female,40 - 44 years,22.7
alcohol,Persons who drink more than once per week,2023,Female,45 - 49 years,21.8
alcohol,Persons who drink more than once per week,2023,Female,50 - 54 years,23
alcohol,Persons who drink more than once per week,2023,Female,55 - 59 years,25.5
alcohol,Persons who drink more than once per week,2023,Female,60 - 64 years,28.6
alcohol,Persons who drink more than once per week,2023,Female,65 - 69 years,25.8
alcohol,Persons who drink more than once per week,2023,Female,70 - 74 years,18
alcohol,Persons who drink more than once per week,2023,Female,75 years and over,15.8
alcohol,Persons who drink more than once per week,2024,Both sexes,All ages,21.8
alcohol,Persons who drink more than once per week,2024,Both sexes,15 - 19 years,13.3
alcohol,Persons who drink more than once per week,2024,Both sexes,20 - 24 years,13
alcohol,Persons who drink more than once per week,2024,Both sexes,25 - 29 years,15.1
alcohol,Persons who drink more than once per week,2024,Both sexes,30 - 34 years,14.8
alcohol,Persons who drink more than once per week,2024,Both sexes,35 - 39 years,15.1
alcohol,Persons who drink more than once per week,2024,Both sexes,40 - 44 years,19.4
alcohol,Persons who drink more than once per week,2024,Both sexes,45 - 49 years,27.5
alcohol,Persons who drink more than once per week,2024,Both sexes,50 - 54 years,29.3
alcohol,Persons who drink more than once per week,2024,Both sexes,55 - 59 years,28.7
alcohol,Persons who drink more than once per week,2024,Both sexes,60 - 64 years,32.9
alcohol,Persons who drink more than once per week,2024,Both sexes,65 - 69 years,31.5
alcohol,Persons who drink more than once per week,2024,Both sexes,70 - 74 years,23.4
alcohol,Persons who drink more than once per week,2024,Both sexes,75 years and over,23.7
alcohol,Persons who drink more than once per week,2024,Male,All ages,26.6
alcohol,Persons who drink more than once per week,2024,Male,15 - 19 years,16.8
alcohol,Persons who drink more than once per week,2024,Male,20 - 24 years,14.2
alcohol,Persons who drink more than once per week,2024,Male,25 - 29 years,17.3
alcohol,Persons who drink more than once per week,2024,Male,30 - 34 years,20.7
alcohol,Persons who drink more than once per week,2024,Male,35 - 39 years,19
alcohol,Persons who drink more than once per week,2024,Male,40 - 44 years,24.2
alcohol,Persons who drink more than once per week,2024,Male,45 - 49 years,34.1
alcohol,Persons who drink more than once per week,2024,Male,50 - 54 years,38.1
alcohol,Persons who drink more than once per week,2024,Male,55 - 59 years,32.6
alcohol,Persons who drink more than once per week,2024,Male,60 - 64 years,36.8
alcohol,Persons who drink more than once per week,2024,Male,65 - 69 years,33.3
alcohol,Persons who drink more than once per week,2024,Male,70 - 74 years,32.9
alcohol,Persons who drink more than once per week,2024,Male,75 years and over,31.8
alcohol,Persons who drink more than once per week,2024,Female,All ages,17.2
alcohol,Persons who drink more than once per week,2024,Female,15 - 19 years,8.9
alcohol,Persons who drink more than once per week,2024,Female,20 - 24 years,11.8
alcohol,Persons who drink more than once per week,2024,Female,25 - 29 years,13.1
alcohol,Persons who drink more than once per week,2024,Female,30 - 34 years,9.2
alcohol,Persons who drink more than once per week,2024,Female,35 - 39 years,11.5
alcohol,Persons who drink more than once per week,2024,Female,40 - 44 years,15.1
alcohol,Persons who drink more than once per week,2024,Female,45 - 49 years,21
alcohol,Persons who drink more than once per week,2024,Female,50 - 54 years,20.5
alcohol,Persons who drink more than once per week,2024,Female,55 - 59 years,25
alcohol,Persons who drink more than once per week,2024,Female,60 - 64 years,28.9
alcohol,Persons who drink more than once per week,2024,Female,65 - 69 years,30
alcohol,Persons who drink more than once per week,2024,Female,70 - 74 years,14.2
alcohol,Persons who drink more than once per week,2024,Female,75 years and over,16.7
alcohol,Persons who drink more than once per week,2025,Both sexes,All ages,20.3
alcohol,Persons who drink more than once per week,2025,Both sexes,15 - 19 years,9.9
alcohol,Persons who drink more than once per week,2025,Both sexes,20 - 24 years,13.1
alcohol,Persons who drink more than once per week,2025,Both sexes,25 - 29 years,10.3
alcohol,Persons who drink more than once per week,2025,Both sexes,30 - 34 years,12.2
alcohol,Persons who drink more than once per week,2025,Both sexes,35 - 39 years,12.5
alcohol,Persons who drink more than once per week,2025,Both sexes,40 - 44 years,17.1
alcohol,Persons who drink more than once per week,2025,Both sexes,45 - 49 years,24.5
alcohol,Persons who drink more than once per week,2025,Both sexes,50 - 54 years,26.5
alcohol,Persons who drink more than once per week,2025,Both sexes,55 - 59 years,29.7
alcohol,Persons who drink more than once per week,2025,Both sexes,60 - 64 years,32.4
alcohol,Persons who drink more than once per week,2025,Both sexes,65 - 69 years,26.8
alcohol,Persons who drink more than once per week,2025,Both sexes,70 - 74 years,30.5
alcohol,Persons who drink more than once per week,2025,Both sexes,75 years and over,23.9
alcohol,Persons who drink more than once per week,2025,Male,All ages,23.7
alcohol,Persons who drink more than once per week,2025,Male,15 - 19 years,8.8
alcohol,Persons who drink more than once per week,2025,Male,20 - 24 years,14.8
alcohol,Persons who drink more than once per week,2025,Male,25 - 29 years,11.9
alcohol,Persons who drink more than once per week,2025,Male,30 - 34 years,17.5
alcohol,Persons who drink more than once per week,2025,Male,35 - 39 years,12.5
alcohol,Persons who drink more than once per week,2025,Male,40 - 44 years,19.8
alcohol,Persons who drink more than once per week,2025,Male,45 - 49 years,29
alcohol,Persons who drink more than once per week,2025,Male,50 - 54 years,28.1
alcohol,Persons who drink more than once per week,2025,Male,55 - 59 years,32.4
alcohol,Persons who drink more than once per week,2025,Male,60 - 64 years,35.5
alcohol,Persons who drink more than once per week,2025,Male,65 - 69 years,33.4
alcohol,Persons who drink more than once per week,2025,Male,70 - 74 years,41.5
alcohol,Persons who drink more than once per week,2025,Male,75 years and over,32.3
alcohol,Persons who drink more than once per week,2025,Female,All ages,17
alcohol,Persons who drink more than once per week,2025,Female,15 - 19 years,9.6
alcohol,Persons who drink more than once per week,2025,Female,20 - 24 years,11.3
alcohol,Persons who drink more than once per week,2025,Female,25 - 29 years,8.7
alcohol,Persons who drink more than once per week,2025,Female,30 - 34 years,7
alcohol,Persons who drink more than once per week,2025,Female,35 - 39 years,12.4
alcohol,Persons who drink more than once per week,2025,Female,40 - 44 years,14.6
alcohol,Persons who drink more than once per week,2025,Female,45 - 49 years,19.4
alcohol,Persons who drink more than once per week,2025,Female,50 - 54 years,25.1
alcohol,Persons who drink more than once per week,2025,Female,55 - 59 years,27.1
alcohol,Persons who drink more than once per week,2025,Female,60 - 64 years,29.4
alcohol,Persons who drink more than once per week,2025,Female,65 - 69 years,21.3
alcohol,Persons who drink more than once per week,2025,Female,70 - 74 years,21
alcohol,Persons who drink more than once per week,2025,Female,75 years and over,15.9
alcohol,Persons who drink only once per week,2015,Both sexes,All ages,16.6
alcohol,Persons who drink only once per week,2015,Both sexes,15 - 19 years,7.1
alcohol,Persons who drink only once per week,2015,Both sexes,20 - 24 years,24.9
alcohol,Persons who drink only once per week,2015,Both sexes,25 - 29 years,21.7
alcohol,Persons who drink only once per week,2015,Both sexes,30 - 34 years,20.3
alcohol,Persons who drink only once per week,2015,Both sexes,35 - 39 years,15.3
alcohol,Persons who drink only once per week,2015,Both sexes,40 - 44 years,19.6
alcohol,Persons who drink only once per week,2015,Both sexes,45 - 49 years,19
alcohol,Persons who drink only once per week,2015,Both sexes,50 - 54 years,15.9
alcohol,Persons who drink only once per week,2015,Both sexes,55 - 59 years,20.2
alcohol,Persons who drink only once per week,2015,Both sexes,60 - 64 years,13
alcohol,Persons who drink only once per week,2015,Both sexes,65 - 69 years,13.5
alcohol,Persons who drink only once per week,2015,Both sexes,70 - 74 years,10.6
alcohol,Persons who drink only once per week,2015,Both sexes,75 years and over,10
alcohol,Persons who drink only once per week,2015,Male,All ages,18.1
alcohol,Persons who drink only once per week,2015,Male,15 - 19 years,8.1
